ZIP,LAT,LNG,DIST,POPULATION,IMPACT,POP_DENSITY
27592,35.557356,-78.67224499999998,177.4455799282752,15244,MEDIUM,MEDIUM
27596,35.999902,-78.435089,207.61193886077254,15619,MEDIUM,MEDIUM
27597,35.84101500000001,-78.30268000000002,186.5403789803833,22181,MEDIUM,MEDIUM
27601,35.773632,-78.634457,194.7293777641844,9450,MEDIUM,LOW
27603,35.664418,-78.652751,185.76185109252611,47033,MEDIUM,HIGH
27604,35.822789,-78.56164799999998,195.77986550452076,42204,MEDIUM,HIGH
27605,35.790609,-78.65459399999997,197.3105612311021,4495,MEDIUM,LOW
27606,35.742323,-78.715478,196.09513856807882,43210,MEDIUM,HIGH
27607,35.813106,-78.721175,202.78225670458536,25188,MEDIUM,HIGH
27608,35.809046,-78.647228,198.64244097955802,10429,MEDIUM,MEDIUM
27609,35.84376500000001,-78.633643,201.2037459533949,32964,MEDIUM,HIGH
27610,35.7444,-78.546278,187.6502770145106,65648,MEDIUM,HIGH
27612,35.855753,-78.707038,205.95963535903985,35028,MEDIUM,HIGH
27613,35.926102,-78.711414,212.69608220033197,42690,MEDIUM,HIGH
27614,35.94592700000001,-78.61949200000002,210.19635398275997,31516,MEDIUM,HIGH
27615,35.8985,-78.635485,206.43798318173467,42166,MEDIUM,HIGH
27616,35.866734,-78.541216,199.03079626651416,42294,MEDIUM,HIGH
27617,35.907875,-78.77296,214.09585620713727,15199,MEDIUM,MEDIUM
27701,35.99924,-78.897944,228.87497735570423,21288,MEDIUM,MEDIUM
27703,35.95925300000001,-78.806827,220.53106355185312,41937,MEDIUM,HIGH
27704,36.04244600000001,-78.828771,229.3056127255201,34517,MEDIUM,HIGH
27705,36.022136,-78.975659,235.04902196967453,46282,MEDIUM,HIGH
27707,35.954525,-78.953317,227.83311948698105,45023,MEDIUM,HIGH
27709,35.924393,-78.832764,218.6928273663402,1047,MEDIUM,LOW
27712,36.095476,-78.904083,237.97318086073054,20035,MEDIUM,MEDIUM
27713,35.89504,-78.92374699999998,220.96637139052348,46660,MEDIUM,HIGH
27801,35.913445,-77.7257,179.44184705581324,21740,MEDIUM,MEDIUM
27803,35.903051,-77.856172,180.35252930055915,21227,MEDIUM,MEDIUM
27804,35.98914600000001,-77.842675,189.49349616998094,29058,MEDIUM,HIGH
27805,36.207741,-77.084248,212.99785200116688,3992,MEDIUM,LOW
27806,35.304999,-76.756067,126.93600176958522,2331,LOW,LOW
27807,35.80451400000001,-78.095537,175.69150954708908,6629,MEDIUM,LOW
27808,35.467089,-76.759752,142.6643619917807,2225,LOW,LOW
27809,36.01677700000001,-77.741619,191.01910208272807,5091,MEDIUM,LOW
27810,35.531731,-76.52550600000002,159.32473538159266,4377,MEDIUM,LOW
27812,35.815619,-77.36924,166.95807548717187,2593,MEDIUM,LOW
27813,35.634699,-77.937717,153.27466548773748,747,MEDIUM,LOW
27814,35.398663,-76.918808,129.80630146642974,1676,LOW,LOW
27816,36.108992,-78.070319,207.2385389095068,2516,MEDIUM,LOW
27817,35.447982,-77.072002,130.54325827574823,7358,LOW,LOW
27818,36.499725,-77.018505,245.98833104415212,1344,MEDIUM,LOW
27819,35.815994,-77.454941,166.84035526938203,330,MEDIUM,LOW
27820,36.421515,-77.241567,234.9286950688359,3088,MEDIUM,LOW
27821,35.322066,-76.874087,123.63306662553646,358,LOW,LOW
27822,35.807012,-77.840457,169.61359469980485,8143,MEDIUM,LOW
27823,36.209653,-77.71373299999998,211.97348520505838,8201,MEDIUM,LOW
27824,35.513209,-76.037172,185.25157166854189,1476,MEDIUM,LOW
27825,35.832804,-77.174424,170.5565652881549,103,MEDIUM,LOW
27826,35.595458,-76.206221,181.91346663706327,1379,MEDIUM,LOW
27827,35.696636,-77.513239,153.67704459805594,33,MEDIUM,LOW
27828,35.585152,-77.57719399999998,141.64946921859735,9071,LOW,LOW
27829,35.683966,-77.626467,153.00941388013558,1930,MEDIUM,LOW
27830,35.564168,-77.95030899999998,146.14740605639744,4755,LOW,LOW
27831,36.463087,-77.570553,239.0448441681377,3908,MEDIUM,LOW
27832,36.519809,-77.740128,246.51015348353945,2847,MEDIUM,LOW
27834,35.657296,-77.379187,149.33091060538598,52914,LOW,HIGH
27837,35.513865,-77.2046,135.10345361657176,5903,LOW,LOW
27839,36.284912,-77.55688,219.19739864990467,4001,MEDIUM,LOW
27840,35.982689,-77.21459899999998,186.60205071286956,514,MEDIUM,LOW
27841,35.908501,-77.276319,177.8255308421284,84,MEDIUM,LOW
27842,36.526749,-77.851988,248.56056937108048,1493,MEDIUM,LOW
27843,35.99556,-77.39999,186.8608642177281,1157,MEDIUM,LOW
27844,36.249497,-77.943156,219.6595441048534,2950,MEDIUM,LOW
27845,36.371267,-77.43999000000002,228.58492863374084,2394,MEDIUM,LOW
27846,35.758568,-76.897527,168.14077775846027,2988,MEDIUM,LOW
27847,36.183169,-77.19466800000002,208.95344557284267,936,MEDIUM,LOW
27849,36.077306,-77.215025,197.0519519605668,1544,MEDIUM,LOW
27850,36.412391,-77.880191,236.40234445072704,7247,MEDIUM,LOW
27851,35.64008300000001,-78.03067800000002,156.50559622736617,5268,MEDIUM,LOW
27852,35.750459,-77.636931,160.4617032426368,2977,MEDIUM,LOW
27853,36.50858,-77.28562600000002,244.30387334061217,673,MEDIUM,LOW
27855,36.415601,-77.069301,236.0444367263145,6456,MEDIUM,LOW
27856,36.01368,-77.980574,194.8922585713593,17141,MEDIUM,MEDIUM
27857,35.972793,-77.286253,184.87217735720702,1298,MEDIUM,LOW
27858,35.53175,-77.283888,136.0740416078605,55781,LOW,HIGH
27860,35.650061,-76.676197,164.2649607312848,2246,MEDIUM,LOW
27861,35.814846,-77.320207,167.1271694739229,71,MEDIUM,LOW
27862,36.490175,-77.188291,242.96175188437113,877,MEDIUM,LOW
27863,35.488144,-77.97173000000002,138.80691922355098,11735,LOW,MEDIUM
27864,35.807034,-77.651372,166.85719450467343,4779,MEDIUM,LOW
27865,35.656239,-76.851605,158.71609408664503,1927,MEDIUM,LOW
27866,36.519869,-77.514565,245.1778191156623,855,MEDIUM,LOW
27869,36.267105,-77.31343299999997,217.35237485650762,2258,MEDIUM,LOW
27870,36.418933,-77.71576,235.12529899789303,27236,MEDIUM,HIGH
27871,35.802069,-77.260565,166.18397119862354,4619,MEDIUM,LOW
27872,36.192755,-77.253865,209.48852784530933,375,MEDIUM,LOW
27873,35.653592,-77.77523199999997,151.71028873813128,397,MEDIUM,LOW
27874,36.130108,-77.393225,201.83247337318053,4861,MEDIUM,LOW
27875,35.455706,-76.504667,153.29746483630936,517,MEDIUM,LOW
27876,36.471995,-77.39133199999998,239.8418260359886,1302,MEDIUM,LOW
27878,35.86688,-77.834929,176.02455245694924,1931,MEDIUM,LOW
27879,35.574391,-77.279486,140.83036528238586,311,LOW,LOW
27880,35.730736,-78.080589,167.52087220245775,3304,MEDIUM,LOW
27881,35.978414,-77.436573,184.90372430642938,61,MEDIUM,LOW
27882,35.941655,-78.11559799999998,190.68630727689987,7413,MEDIUM,LOW
27883,35.600536,-77.803696,146.48066641201052,3565,LOW,LOW
27884,35.70352000000001,-77.266635,155.22968043142635,1282,MEDIUM,LOW
27885,35.386414,-76.28585600000002,159.54227077075114,984,MEDIUM,LOW
27886,35.904533,-77.511658,176.77496545294585,21591,MEDIUM,MEDIUM
27888,35.589277,-77.71595,143.6952910351872,2560,LOW,LOW
27889,35.582322,-77.012337,146.38460558626434,27468,LOW,HIGH
27890,36.41418,-77.587745,233.69101554922418,2521,MEDIUM,LOW
27891,36.097735,-77.742789,199.9501504724966,5227,MEDIUM,LOW
27892,35.812319,-77.05163,170.32576009218377,15182,MEDIUM,MEDIUM
27893,35.688948,-77.896676,158.04874011213607,39723,MEDIUM,HIGH
27896,35.790766,-77.976733,170.90813446078988,20130,MEDIUM,MEDIUM
27897,36.324988,-77.210701,224.48558976837532,2265,MEDIUM,LOW
27909,36.288605,-76.268734,244.1572030255225,40699,MEDIUM,HIGH
27910,36.290066,-76.993185,223.42528519771054,12007,MEDIUM,MEDIUM
27915,35.33695,-75.517266,209.77364099314718,777,MEDIUM,LOW
27916,36.322012,-75.915131,262.96957646781624,747,LOW,LOW
27917,36.355145,-75.99748100000002,262.2581003768391,833,LOW,LOW
27919,36.308171,-76.504283,237.58605836816417,1130,MEDIUM,LOW
27920,35.259518,-75.553269,202.4932376938968,1326,MEDIUM,LOW
27921,36.352062,-76.187929,253.718413786165,4805,LOW,LOW
27922,36.316755,-76.84221,229.24221231474561,1030,MEDIUM,LOW
27923,36.396245,-75.931116,269.2302540739869,598,LOW,LOW
27924,36.168447,-76.832521,213.5138827981813,3140,MEDIUM,LOW
27925,35.856141,-76.193837,205.90787462516099,4217,MEDIUM,LOW
27926,36.505115,-76.604925,255.21289910710024,1915,LOW,LOW
27927,36.341348,-75.852576,267.8132016624582,542,LOW,LOW
27928,35.824539,-76.43865600000002,191.35391891792003,1986,MEDIUM,LOW
27929,36.433134,-75.988221,270.1713605467985,1166,LOW,LOW
27932,36.100786,-76.610814,212.62856700318392,12562,MEDIUM,MEDIUM
27935,36.431079,-76.868092,241.06813772601765,1698,MEDIUM,LOW
27936,35.23942299999999,-75.564581,200.47455160724567,1091,MEDIUM,LOW
27937,36.504334,-76.780733,250.81205460655636,4333,LOW,LOW
27938,36.384296,-76.71600000000001,239.45744556683096,1505,MEDIUM,LOW
27939,36.238431,-75.84308399999998,258.7991977399986,2361,LOW,LOW
27941,36.102528,-75.816896,247.95077950885806,536,MEDIUM,LOW
27942,36.297368,-76.750654,229.30882758621664,901,MEDIUM,LOW
27943,35.224432,-75.678903,190.70751003968797,504,MEDIUM,LOW
27944,36.173431,-76.42126400000002,226.7063776374987,11909,MEDIUM,MEDIUM
27946,36.363435,-76.601536,240.35041453027472,1207,MEDIUM,LOW
27947,36.216959,-75.89157800000002,254.3677378763218,1230,LOW,LOW
27948,36.019229,-75.692172,247.7907801620899,10862,MEDIUM,MEDIUM
27949,36.108909,-75.760514,251.60620218839702,6947,LOW,LOW
27950,36.509694,-75.996382,277.2395336932122,2006,LOW,LOW
27953,35.779985,-75.881366,216.54563222565747,1021,MEDIUM,LOW
27954,35.910154,-75.67778100000002,239.5976822958653,6111,MEDIUM,LOW
27956,36.401576,-76.000725,266.57121186839885,340,LOW,LOW
27957,36.066297,-76.759059,204.53324587836332,1356,MEDIUM,LOW
27958,36.484298,-76.13835,268.8388106773648,10144,LOW,MEDIUM
27959,35.886943,-75.606402,242.1590694471349,2789,MEDIUM,LOW
27960,35.073231,-75.998527,157.1488907568267,948,MEDIUM,LOW
27962,35.790464,-76.744743,176.1021339106587,7792,MEDIUM,LOW
27964,36.083046,-75.806214,246.81494254782447,545,MEDIUM,LOW
27965,36.292401,-75.93087299999998,259.43440496648,527,LOW,LOW
27966,36.149743,-75.802262,252.93549613483296,1052,LOW,LOW
27967,36.229468,-76.904956,218.4821393219718,366,MEDIUM,LOW
27968,35.732418,-75.509908,236.66835190810195,298,MEDIUM,LOW
27970,35.83914,-76.65040400000002,184.3606322911263,3409,MEDIUM,LOW
27972,35.552458,-75.471299,226.78959644706987,244,MEDIUM,LOW
27973,36.371209,-76.055514,261.21019902537665,1323,LOW,LOW
27974,36.243022,-75.98950500000002,251.9833569942425,1285,LOW,LOW
27976,36.487866,-76.350687,261.2709613299186,3449,LOW,LOW
27978,35.727405,-75.73987199999998,221.08990317653476,225,MEDIUM,LOW
27979,36.436768,-76.56067900000002,249.251190751554,1719,MEDIUM,LOW
27980,36.245324,-76.619385,227.42387346653817,2182,MEDIUM,LOW
27981,35.852855,-75.637424,237.4954125513897,1643,MEDIUM,LOW
27982,35.56523499999999,-75.4661,228.01824568387607,82,MEDIUM,LOW
27983,35.97046,-76.921871,190.16717618457147,10416,MEDIUM,MEDIUM
27985,36.211603,-76.45667399999998,229.28913865319706,283,MEDIUM,LOW
27986,36.389005,-76.918212,235.53670754553264,2430,MEDIUM,LOW
28001,35.338552,-80.208179,276.28620745517736,26760,LOW,HIGH
28006,35.410444,-81.092252,353.9184054036724,1130,LOW,LOW
28007,35.10459,-80.109911,258.506206311013,611,LOW,LOW
28009,35.407846,-80.10719499999998,271.1828535427619,1121,LOW,LOW
28012,35.211504,-81.037865,342.5643532701357,20048,LOW,MEDIUM
28016,35.314932,-81.283292,367.17110723875464,13463,LOW,MEDIUM
28017,35.247082,-81.670682,399.14259947598225,695,LOW,LOW
28018,35.48572700000001,-81.790396,416.6562015979192,5562,LOW,LOW
28019,35.276702,-81.787707,410.247082128309,123,LOW,LOW
28020,35.525046,-81.641413,405.11738883653925,2322,LOW,LOW
28021,35.400774,-81.403346,380.3670453591654,13612,LOW,MEDIUM
28023,35.567714,-80.60225799999998,319.2988557862972,14175,LOW,MEDIUM
28025,35.382677,-80.52346700000002,304.54845142068626,49160,LOW,HIGH
28027,35.406991,-80.685957,319.2317609986034,55435,LOW,HIGH
28031,35.472097,-80.900358,339.9579849931552,24390,LOW,MEDIUM
28032,35.233033,-81.079513,346.8601950878353,3105,LOW,LOW
28033,35.41927000000001,-81.328253,374.5078623560645,2749,LOW,LOW
28034,35.353664,-81.178943,359.3883973948083,16642,LOW,MEDIUM
28036,35.48054699999999,-80.792539,331.22951707091823,14654,LOW,MEDIUM
28037,35.495708,-81.018394,350.87446413534917,18287,LOW,MEDIUM
28039,35.678835,-80.437427,311.5060361319539,116,LOW,LOW
28040,35.389195,-81.758135,410.8382729224396,7969,LOW,LOW
28043,35.306241,-81.8726,418.5159019369511,21055,LOW,MEDIUM
28052,35.214656,-81.233227,359.7639557345445,34932,LOW,HIGH
28054,35.262879,-81.149075,353.85110874061513,36270,LOW,HIGH
28056,35.216936,-81.125003,350.34805261318144,31418,LOW,HIGH
28071,35.51763,-80.316291,293.55755432188386,2802,LOW,LOW
28072,35.61407,-80.445205,308.788446741317,1357,LOW,LOW
28073,35.198574,-81.48378100000002,381.36862322193736,5621,LOW,LOW
28075,35.302748,-80.639937,311.25042978985783,16143,LOW,MEDIUM
28076,35.259155,-81.788612,409.86414665746673,722,LOW,LOW
28077,35.40480200000001,-81.20277,363.20256645346853,482,LOW,LOW
28078,35.405286,-80.86402,334.24708012077605,52133,LOW,HIGH
28079,35.114709999999995,-80.60042299999998,301.3736779621237,31979,LOW,HIGH
28080,35.456746,-81.105685,356.77849717206453,7299,LOW,LOW
