population,minimum_age,maximum_age,gender,zipcode,geo_id
42690,,,,27613,8600000US27613
31516,,,,27614,8600000US27614
42166,,,,27615,8600000US27615
42294,,,,27616,8600000US27616
15199,,,,27617,8600000US27617
21288,,,,27701,8600000US27701
41937,,,,27703,8600000US27703
34517,,,,27704,8600000US27704
46282,,,,27705,8600000US27705
45023,,,,27707,8600000US27707
1047,,,,27709,8600000US27709
20035,,,,27712,8600000US27712
46660,,,,27713,8600000US27713
21740,,,,27801,8600000US27801
21227,,,,27803,8600000US27803
29058,,,,27804,8600000US27804
3992,,,,27805,8600000US27805
2331,,,,27806,8600000US27806
6629,,,,27807,8600000US27807
2225,,,,27808,8600000US27808
5091,,,,27809,8600000US27809
4377,,,,27810,8600000US27810
2593,,,,27812,8600000US27812
747,,,,27813,8600000US27813
1676,,,,27814,8600000US27814
2516,,,,27816,8600000US27816
7358,,,,27817,8600000US27817
1344,,,,27818,8600000US27818
330,,,,27819,8600000US27819
3088,,,,27820,8600000US27820
358,,,,27821,8600000US27821
8143,,,,27822,8600000US27822
8201,,,,27823,8600000US27823
1476,,,,27824,8600000US27824
103,,,,27825,8600000US27825
1379,,,,27826,8600000US27826
33,,,,27827,8600000US27827
9071,,,,27828,8600000US27828
1930,,,,27829,8600000US27829
4755,,,,27830,8600000US27830
3908,,,,27831,8600000US27831
2847,,,,27832,8600000US27832
52914,,,,27834,8600000US27834
5903,,,,27837,8600000US27837
4001,,,,27839,8600000US27839
514,,,,27840,8600000US27840
84,,,,27841,8600000US27841
1493,,,,27842,8600000US27842
1157,,,,27843,8600000US27843
2950,,,,27844,8600000US27844
2394,,,,27845,8600000US27845
2988,,,,27846,8600000US27846
936,,,,27847,8600000US27847
1544,,,,27849,8600000US27849
7247,,,,27850,8600000US27850
5268,,,,27851,8600000US27851
2977,,,,27852,8600000US27852
673,,,,27853,8600000US27853
6456,,,,27855,8600000US27855
17141,,,,27856,8600000US27856
1298,,,,27857,8600000US27857
55781,,,,27858,8600000US27858
2246,,,,27860,8600000US27860
71,,,,27861,8600000US27861
877,,,,27862,8600000US27862
11735,,,,27863,8600000US27863
4779,,,,27864,8600000US27864
1927,,,,27865,8600000US27865
855,,,,27866,8600000US27866
2258,,,,27869,8600000US27869
27236,,,,27870,8600000US27870
4619,,,,27871,8600000US27871
375,,,,27872,8600000US27872
397,,,,27873,8600000US27873
4861,,,,27874,8600000US27874
517,,,,27875,8600000US27875
1302,,,,27876,8600000US27876
1931,,,,27878,8600000US27878
311,,,,27879,8600000US27879
3304,,,,27880,8600000US27880
61,,,,27881,8600000US27881
7413,,,,27882,8600000US27882
3565,,,,27883,8600000US27883
1282,,,,27884,8600000US27884
984,,,,27885,8600000US27885
21591,,,,27886,8600000US27886
2560,,,,27888,8600000US27888
27468,,,,27889,8600000US27889
2521,,,,27890,8600000US27890
5227,,,,27891,8600000US27891
15182,,,,27892,8600000US27892
39723,,,,27893,8600000US27893
20130,,,,27896,8600000US27896
2265,,,,27897,8600000US27897
40699,,,,27909,8600000US27909
12007,,,,27910,8600000US27910
777,,,,27915,8600000US27915
747,,,,27916,8600000US27916
833,,,,27917,8600000US27917
1130,,,,27919,8600000US27919
1326,,,,27920,8600000US27920
4805,,,,27921,8600000US27921
1030,,,,27922,8600000US27922
598,,,,27923,8600000US27923
3140,,,,27924,8600000US27924
4217,,,,27925,8600000US27925
1915,,,,27926,8600000US27926
542,,,,27927,8600000US27927
1986,,,,27928,8600000US27928
1166,,,,27929,8600000US27929
12562,,,,27932,8600000US27932
1698,,,,27935,8600000US27935
1091,,,,27936,8600000US27936
4333,,,,27937,8600000US27937
1505,,,,27938,8600000US27938
2361,,,,27939,8600000US27939
536,,,,27941,8600000US27941
901,,,,27942,8600000US27942
504,,,,27943,8600000US27943
11909,,,,27944,8600000US27944
1207,,,,27946,8600000US27946
1230,,,,27947,8600000US27947
10862,,,,27948,8600000US27948
6947,,,,27949,8600000US27949
2006,,,,27950,8600000US27950
1021,,,,27953,8600000US27953
6111,,,,27954,8600000US27954
340,,,,27956,8600000US27956
1356,,,,27957,8600000US27957
10144,,,,27958,8600000US27958
2789,,,,27959,8600000US27959
948,,,,27960,8600000US27960
7792,,,,27962,8600000US27962
545,,,,27964,8600000US27964
527,,,,27965,8600000US27965
1052,,,,27966,8600000US27966
366,,,,27967,8600000US27967
298,,,,27968,8600000US27968
